baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	R16W0	R8W7	R16W7	R8W0	R10W7	R6W0	R6W7	R10W0	R3W0	R9W7	R3W7	R9W0	R19W7	R21W0	R21W7	R19W0	Significant	Description	Symbol	KO	Phylum
501.706501864797	0.158691452668327	0.265152770511913	0.598490645079633	0.549512599125237	0.999933555398506	400	697	468	394	555	385	281	876	432	526	571	282	592	422	457	576	No	holliday junction DNA helicase RuvB [EC:5.6.2.4]	ruvB	K03551	K03551
393.173571969941	0.0502087775145792	0.249709051136823	0.201069113378146	0.840644532716198	0.999933555398506	358	347	344	392	404	438	265	492	318	522	358	233	562	361	356	424	No	holliday junction DNA helicase RuvA [EC:5.6.2.4]	ruvA	K03550	K03550
284.131986379051	0.0343031658502044	0.274124142919354	0.125137339181016	0.900414823225919	0.999933555398506	265	468	258	272	260	216	181	349	279	176	325	185	385	245	247	358	No	crossover junction endodeoxyribonuclease RuvC [EC:3.1.21.10]	ruvC	K01159	K01159
313.24090727646	-0.0867487123120371	0.240349991489424	-0.360926629430958	0.718154296087276	0.999933555398506	298	402	289	482	324	333	222	409	325	208	331	219	351	222	267	294	No	preprotein translocase subunit YajC	yajC	K03210	K03210
514.962440718505	-0.163747464078647	0.248824166354064	-0.65808505049161	0.510483481452444	0.999933555398506	489	556	507	642	549	506	354	1038	418	368	475	415	498	397	451	478	No	queuine tRNA-ribosyltransferase [EC:2.4.2.29]	tgt	K00773	K00773
696.789385292259	0.00761207689349312	0.367549699155121	0.0207103336256045	0.983476725747564	0.999933555398506	796	1052	814	939	768	238	287	716	778	287	594	277	614	654	815	886	No	HSP20 family protein	HSP20	K13993	K13993
725.399686794187	0.122469163800155	0.28260248749536	0.433361945556711	0.664751841999141	0.999933555398506	682	1208	744	922	628	563	467	1061	525	940	542	452	629	666	660	570	No	S-adenosylmethionine:tRNA ribosyltransferase-isomerase [EC:2.4.99.17]	queA	K07568	K07568
661.49442191062	-0.117449673428142	0.301293759921261	-0.389817809233206	0.696671273654243	0.999933555398506	671	1012	547	1197	517	289	329	1020	529	517	848	376	833	572	512	713	No	stage II sporulation protein D	spoIID	K06381	K06381
408.280788092808	-0.166569340754312	0.244093030419455	-0.682401052041819	0.49498539071445	0.999933555398506	263	404	317	679	336	272	341	943	420	318	557	262	599	301	299	436	No	magnesium transporter	mgtE	K06213	K06213
124.282059712141	0.211941891189241	0.355744865129208	0.595769361596442	0.551329314199814	0.999933555398506	56	84	77	112	98	98	125	249	188	294	118	165	211	66	89	44	No	adenosylhomocysteinase [EC:3.3.1.1]	E3.3.1.1, ahcY	K01251	K01251
239.161027024435	-0.10049336984309	0.287427606513285	-0.34963019405878	0.726616247823347	0.999933555398506	214	319	219	299	186	235	85	467	188	249	332	196	336	142	148	260	No	stage II sporulation protein E [EC:3.1.3.16]	spoIIE	K06382	K06382
637.41429764302	-0.053783204027574	0.256395489344394	-0.209766576491257	0.833849860755391	0.999933555398506	505	881	528	880	603	534	386	897	542	680	718	373	658	534	494	833	No	UDP-N-acetylmuramate--alanine ligase [EC:6.3.2.8]	murC	K01924	K01924
138.709112106628	-0.0418745883712225	0.318759792589151	-0.131367221791346	0.895484817137308	0.999933555398506	95	78	92	111	137	125	64	273	219	114	238	86	360	126	93	134	No	uracil-DNA glycosylase [EC:3.2.2.27]	udg	K21929	K21929
1596.99554244275	0.0390494012987455	0.316412803803939	0.123412835477233	0.901780193531283	0.999933555398506	1343	2612	1552	2645	1536	938	777	2281	1217	1648	1145	1103	1251	1511	1713	1270	No	ATP-dependent DNA helicase RecG [EC:5.6.2.4]	recG	K03655	K03655
528.160075448058	0.073474002847906	0.229148664284326	0.320639018679768	0.748483964938174	0.999933555398506	518	745	515	610	569	479	546	591	579	370	538	355	508	446	465	464	No	DNA repair protein RadC	radC	K03630	K03630
635.121543920487	-0.159712076749866	0.239950294741676	-0.665604836709233	0.505663714061945	0.999933555398506	532	845	485	682	454	572	313	1145	742	589	771	389	928	691	497	618	No	N6-L-threonylcarbamoyladenine synthase [EC:2.3.1.234]	OSGEP, KAE1, QRI7	K01409	K01409
157.79713955775	-0.499110465201717	0.28611314676879	-1.7444513502382	0.0810804175725962	0.999933555398506	153	56	121	262	116	173	134	344	153	196	143	137	205	112	93	172	No	[ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]	rimI	K03789	K03789
943.513325920946	0.0291028999286544	0.298740148282005	0.0974187771413363	0.922393833649405	0.999933555398506	792	1891	696	1561	790	646	492	1725	704	1167	795	574	878	712	771	811	No	DNA polymerase I [EC:2.7.7.7]	polA	K02335	K02335
709.361835343791	-0.203034789245529	0.258134418185216	-0.786546756038739	0.431547238260866	0.999933555398506	654	936	539	1123	555	611	401	1668	627	647	693	389	862	498	617	704	No	excinuclease ABC subunit B	uvrB	K03702	K03702
53.4894959791417	-0.596436580917518	0.682147047245953	-0.874351920638701	0.381926632140247	0.999933555398506	36	0	47	24	41	4	11	247	68	72	84	57	55	40	30	74	No	glycerol-1-phosphate dehydrogenase [NAD(P)+] [EC:1.1.1.261]	araM, egsA	K00096	K00096
431.443163050371	-0.0387399898387829	0.314634330155261	-0.123127027555023	0.902006509222991	0.999933555398506	444	823	426	598	343	306	320	411	344	259	276	327	378	464	450	397	No	undecaprenyl-diphosphatase [EC:3.6.1.27]	bcrC	K19302	K19302
889.091601270885	0.0797484058755556	0.279037530905694	0.285798134812582	0.775032736776422	0.999933555398506	711	1297	740	1087	762	580	407	1906	772	1342	978	502	1059	682	669	821	No	uncharacterized protein	K07137	K07137	K07137
1307.4368956948	-0.24362914029447	0.279111754944773	-0.872873091076642	0.382732254775197	0.999933555398506	1097	1875	902	1944	1076	917	686	3368	995	1007	1534	823	1484	1022	1043	1446	No	DNA gyrase subunit A [EC:5.6.2.2]	gyrA	K02469	K02469
1289.93355279701	-0.123702950182977	0.27984198345811	-0.442045716851826	0.658456124119118	0.999933555398506	1246	1753	812	1867	1354	882	596	2283	982	1253	1463	769	1564	1126	1043	1445	No	DNA gyrase subunit B [EC:5.6.2.2]	gyrB	K02470	K02470
30.1786571338071	-0.566000144201496	0.963186607484192	-0.587632904988025	0.556778719689543	0.999933555398506	36	0	15	0	31	53	52	102	86	0	31	20	53	0	26	36	No	inhibitor of the pro-sigma K processing machinery	bofA	K06317	K06317
153.496295063394	-0.0860602730435603	0.350047176345527	-0.245853355944833	0.805795752263843	0.999933555398506	155	131	183	212	96	171	51	224	117	69	350	109	221	155	123	103	No	23S rRNA (guanine745-N1)-methyltransferase [EC:2.1.1.187]	rlmA1	K00563	K00563
50.6105244990903	0.223889113512665	0.708325700243235	0.316082154629972	0.751940151449349	0.999933555398506	30	16	23	0	22	78	122	100	27	115	4	103	105	19	53	20	No	4-hydroxy-3-polyprenylbenzoate decarboxylase [EC:4.1.1.98]	ubiD	K03182	K03182
27.0365382089746	0.101583938068245	0.920360999753464	0.110374014213397	0.912112760849058	0.999933555398506	3	41	0	28	0	80	64	55	20	91	15	43	35	4	3	3	No	flavin prenyltransferase [EC:2.5.1.129]	ubiX, bsdB, PAD1	K03186	K03186
90.4572964584831	-0.329998015535395	0.628626648709753	-0.524950725860431	0.599617445112988	0.999933555398506	40	0	15	34	98	40	36	309	107	220	79	165	145	38	59	107	No	pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1]	porB	K00170	K00170
32.6834231348887	-1.81779011616593	0.967126802893875	-1.87957784928167	0.0601656344681119	0.999933555398506	12	31	3	67	30	0	0	123	36	0	18	149	18	3	13	16	No	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]	porA	K00169	K00169
326.67009521902	0.160569113417361	0.383834388830072	0.418329149471927	0.675706480169302	0.999933555398506	294	435	286	487	601	203	163	623	165	399	133	193	174	285	317	207	No	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2/3/5	SLC13A2_3_5	K14445	K14445
180.940048954058	0.183626331104878	0.297896094518551	0.616410669638513	0.537623513180202	0.999933555398506	121	207	135	306	221	124	103	194	216	166	327	91	328	178	112	124	No	serine/threonine transporter	sstT	K07862	K07862
117.559181213638	-0.823543502752981	0.372624124470929	-2.21011858510849	0.0270969333419783	0.999933555398506	126	66	40	181	72	125	42	209	169	22	206	146	220	91	78	151	Yes	AbrB family transcriptional regulator, stage V sporulation protein T	spoVT	K04769	K04769
784.24642759391	0.0461212584463121	0.211388897128154	0.218182028824112	0.827287286716988	0.999933555398506	604	1243	539	979	592	703	785	1145	834	816	731	643	896	591	779	689	No	UDP-glucose 4-epimerase [EC:5.1.3.2]	galE, GALE	K01784	K01784
1053.65299581705	-0.0983733807930625	0.276655755757873	-0.355580459635035	0.722154779418933	0.999933555398506	845	1925	661	1492	1124	1025	796	2126	750	884	831	739	838	803	894	1046	No	ribonucleoside-triphosphate reductase (formate) [EC:1.1.98.6]	nrdD	K21636	K21636
392.623271018237	0.0339187593110235	0.220608404206768	0.153750984387851	0.877806082958747	0.999933555398506	387	340	354	499	406	373	365	539	362	477	451	257	428	327	325	328	No	anaerobic ribonucleoside-triphosphate reductase activating protein [EC:1.97.1.4]	nrdG	K04068	K04068
407.798505820765	-0.0487186549787771	0.266184288397964	-0.183026035353144	0.8547775904007	0.999933555398506	416	400	371	521	471	282	239	541	384	277	465	268	547	355	385	450	No	dUTP pyrophosphatase [EC:3.6.1.23]	dut, DUT	K01520	K01520
522.119650103271	0.0419078443893852	0.242082835006595	0.173113655035655	0.862562091834337	0.999933555398506	463	828	522	727	385	443	373	687	414	558	576	395	634	424	371	477	No	diaminopimelate decarboxylase [EC:4.1.1.20]	lysA	K01586	K01586
83.9812639827855	-0.440193291518771	0.488179070552018	-0.9017045548901	0.367213832750205	0.999933555398506	47	118	85	156	107	48	11	121	77	29	33	109	61	74	75	113	No	signal peptidase I [EC:3.4.21.89]	SEC11, sipW	K13280	K13280
411.115179077425	-0.0479585833356966	0.395415726975913	-0.121286484233891	0.903464125003715	0.999933555398506	449	658	435	594	292	254	405	308	238	464	132	227	129	478	478	506	No	Ca-activated chloride channel homolog	yfbK	K07114	K07114
333.646370173806	0.058918245388557	0.34425488107013	0.171147160514928	0.86410805415688	0.999933555398506	385	348	409	400	329	177	257	154	240	433	278	206	294	378	263	406	No	pyrimidine/purine-5'-nucleotide nucleosidase [EC:3.2.2.10 3.2.2.-]	ppnN	K06966	K06966
282.86010548394	0.0636306633516712	0.246317277606218	0.25832805546591	0.79615373575413	0.999933555398506	249	451	206	398	182	244	303	511	248	175	347	158	502	214	252	229	No	2-dehydropantoate 2-reductase [EC:1.1.1.169]	panE, apbA	K00077	K00077
1059.41074295474	-0.0793703368572441	0.228373544241022	-0.347546109690699	0.728181084166335	0.999933555398506	912	1504	878	1644	743	828	697	1744	1062	927	1251	790	1481	783	876	985	No	trk/ktr system potassium uptake protein	trkH, trkG, ktrB, ktrD	K03498	K03498
805.477911086854	-0.084171121384112	0.233095392191503	-0.361101609914965	0.718023489801183	0.999933555398506	775	976	629	1039	644	610	437	1325	845	623	1124	639	1464	679	594	685	No	@	@	K07088	K07088
555.093515626481	-0.0831729264730442	0.234211618177951	-0.355118704699996	0.722500664395987	0.999933555398506	488	694	562	807	420	537	347	753	542	442	735	334	692	459	435	611	No	dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]	folC	K11754	K11754
289.926091655662	-0.189113082076449	0.274932372458439	-0.687853090508782	0.491545299428415	0.999933555398506	352	270	274	336	237	301	234	270	332	116	378	215	323	234	312	342	No	putative pre-16S rRNA nuclease [EC:3.1.-.-]	ruvX	K07447	K07447
95.5405779087073	-0.19662106375042	0.416666194020738	-0.471891088290771	0.637004529364452	0.999933555398506	93	117	48	50	92	62	29	321	61	116	127	96	141	44	60	118	No	stage III sporulation protein AH	spoIIIAH	K06397	K06397
103.670801676612	-0.279980646716636	0.34546138502431	-0.810454247142365	0.417679150775385	0.999933555398506	62	95	81	109	65	99	34	266	140	119	176	117	167	51	50	115	No	stage III sporulation protein AG	spoIIIAG	K06396	K06396
35.6855484337755	-0.406511502180912	0.687267301272607	-0.59148965974109	0.554192381413101	0.999933555398506	13	32	29	0	49	59	6	116	57	15	12	39	55	25	35	45	No	stage III sporulation protein AF	spoIIIAF	K06395	K06395
132.160115990315	0.146540089555583	0.356081589755406	0.411535147481907	0.680680174419754	0.999933555398506	122	168	118	117	96	139	30	226	102	186	256	87	209	59	83	162	No	stage III sporulation protein AE	spoIIIAE	K06394	K06394
64.2145452801842	-0.0881805534080009	0.518401532507406	-0.170100873316267	0.864930806718203	0.999933555398506	80	15	91	32	47	70	21	32	68	49	172	74	118	36	17	99	No	stage III sporulation protein AD	spoIIIAD	K06393	K06393
74.2291405290737	0.0892432398967292	0.357864611256281	0.24937710265187	0.803069095200985	0.999933555398506	63	52	83	53	43	78	47	98	90	83	155	59	163	45	32	90	No	stage III sporulation protein AC	spoIIIAC	K06392	K06392
31.8006844921363	-1.1628736706957	0.76806412798485	-1.51403200374258	0.130017722663602	0.999933555398506	43	0	29	67	31	58	30	14	17	0	15	63	46	33	10	29	No	stage III sporulation protein AB	spoIIIAB	K06391	K06391
128.598546601115	-0.245089592594422	0.364656856374498	-0.672110199794839	0.501513543594777	0.999933555398506	126	156	108	161	113	132	23	222	80	105	189	110	202	90	69	173	No	stage III sporulation protein AA	spoIIIAA	K06390	K06390
344.838059992213	-0.11426607966751	0.21868075179076	-0.5225246334293	0.601305099791417	0.999933555398506	266	469	237	505	280	430	255	594	327	389	401	239	391	287	254	281	No	glycerol kinase [EC:2.7.1.30]	glpK, GK	K00864	K00864
73.0526836470252	0.419117361177314	0.430780722535579	0.972925061990671	0.33059054799735	0.999933555398506	44	105	61	17	101	105	116	221	58	80	64	18	72	52	64	43	No	AdoMet-dependent heme synthase [EC:1.3.98.6]	ahbD	K22227	K22227
294.318867732508	-0.0039407164808096	0.261836758579958	-0.0150502798086167	0.987992067427967	0.999933555398506	246	301	303	541	250	265	245	276	296	310	250	175	361	243	284	278	No	uncharacterized protein	K07139	K07139	K07139
714.120087655112	-0.133322792701772	0.27938666745493	-0.477198120856212	0.633221049113409	0.999933555398506	771	984	565	984	683	433	342	1339	652	483	844	371	1001	634	572	745	No	rod shape-determining protein MreB and related proteins	mreB	K03569	K03569
